question	sentence	index	times
How many sororities are apart of the university?	Four of the sororities are members of the National Panhellenic Conference, and ten of the fraternities form the University of Chicago Interfraternity Council.	not_entailment	3
What area in modern-day Canada received Huguenot immigrants?	They also spread beyond Europe to the Dutch Cape Colony in South Africa, the Dutch East Indies, the Caribbean, and several of the English colonies of North America, and Quebec, where they were accepted and allowed to worship freely.	entailment	3
Where does southern California's megalopolis standard in terms of population nationwide?	It is the third most populated megalopolis in the United States, after the Great Lakes Megalopolis and the Northeastern megalopolis.	entailment	3
What film did Lionsgate pay to have the trailer aired during the Super Bowl?	20th Century Fox, Lionsgate, Paramount Pictures, Universal Studios and Walt Disney Studios paid for movie trailers to be aired during the Super Bowl.	not_entailment	2
Prior to Super Bowl 50, when were the Broncos last there?	The Broncos made their second Super Bowl appearance in three years, having reached Super Bowl XLVIII, while the Panthers made their second Super Bowl appearance in franchise history, their other appearance being Super Bowl XXXVIII.	entailment	2
How far from state house in downtown Boston is Harvard Yard?	west-northwest of the State House in downtown Boston, and extends into the surrounding Harvard Square neighborhood.	not_entailment	2
Which company is the gallery of Japanese art named after?	The museum also holds some cloisonné pieces from the Japanese art production company, Ando Cloisonné.	not_entailment	2
Who did Tesla refuse to see following the accident?	Tesla didn't raise any question as to who was at fault and refused medical aid, only asking to be taken to his hotel via cab.	not_entailment	2
Who published Tesla's writings?	Among his books are My Inventions: The Autobiography of Nikola Tesla, compiled and edited by Ben Johnston; The Fantastic Inventions of Nikola Tesla, compiled and edited by David Hatcher Childress; and The Tesla Papers.	not_entailment	2
What factor may make a teacher's role vary?	Teachers may provide instruction in literacy and numeracy, craftsmanship or vocational training, the arts, religion, civics, community roles, or life skills.	not_entailment	2
How do socialists think the means of production should be owned?	Socialists attribute the vast disparities in wealth to the private ownership of the means of production by a class of owners, creating a situation where a small portion of the population lives off unearned property income by virtue of ownership titles in capital equipment, financial assets and corporate stock.	not_entailment	2
When did the formation of the Holocene Rhine-Meuse delta begin?	At the begin of the Holocene (~11,700 years ago), the Rhine occupied its Late-Glacial valley.	not_entailment	2
What reconstructions supported the 1999 paper's information?	The schematic was not an actual plot of data, and was based on a diagram of temperatures in central England, with temperatures increased on the basis of documentary evidence of Medieval vineyards in England.	entailment	2
What percentage of the vote for a Scottish Assembly in favor of it?	Under the terms of the Scotland Act 1978, an elected assembly would be set up in Edinburgh provided that the majority of the Scottish electorate voted for it in a referendum to be held on 1 March 1979 that represented at least 40% of the total electorate.	not_entailment	2
Besides Britain and North America, where else did Huguenot refugees settle?	Four thousand emigrated to the North American colonies, where they settled in New York and Virginia, especially.	not_entailment	2
What is the name of the trophy given to anyone who plays on the winning team in a Super Bowl?	"""Like the Lombardi Trophy, the """"50"""" will be designed by Tiffany & Co."""	not_entailment	2
What is malum in se considerations?	Other legal requirements come from malum prohibitum considerations, or things that are a matter of custom or expectation, such as isolating businesses to a business district and residences to a residential district.	not_entailment	2
What are two examples of measurements are bound within algorithms to establish complexity classes?	Many important complexity classes can be defined by bounding the time or space used by the algorithm.	entailment	2
How is packet switching charecterized	In cases of billable services, such as cellular communication services, circuit switching is characterized by a fee per unit of connection time, even when no data is transferred, while packet switching may be characterized by a fee per unit of information transmitted, such as characters, packets, or messages.	entailment	2
What was the civil disobedience performed at the test site?	When the Committee for Non-Violent Action sponsored a protest in August 1957, at the Camp Mercury nuclear test site near Las Vegas, Nevada, 13 of the protesters attempted to enter the test site knowing that they faced arrest.	entailment	2
Where is the Apostles located?	"""(""""We All Believe in One True God"""") is a three-stanza confession of faith prefiguring Luther's 1529 three-part explanation of the Apostles' Creed in the Small Catechism."""	entailment	2
When did this leader publish a French language Bible?	Long after the sect was suppressed by Francis I, the remaining French Waldensians, then mostly in the Luberon region, sought to join William Farel, Calvin and the Reformation, and Olivetan published a French Bible for them.	not_entailment	2
Who did the Han Chinese want to help the Mongols fight?	Two Han Chinese leaders, Shi Tianze, Liu Heima (劉黑馬, Liu Ni), and the Khitan Xiao Zhala (蕭札剌) defected and commanded the 3 Tumens in the Mongol army.	not_entailment	2
What has the United Nations designed ISIL?	The group has been designated a terrorist organisation by the United Nations, the European Union and member states, the United States, India, Indonesia, Turkey, Saudi Arabia, Syria and other countries.	entailment	2
What has the United Nations designed ISIL?	"""The United Nations has held ISIL responsible for human rights abuses and war crimes, and Amnesty International has reported ethnic cleansing by the group on a """"historic scale""""."""	not_entailment	2
What was used to create a new electromagnetic theory to reconcile the troubles with electromagnetic theory as it used to stand?	However, attempting to reconcile electromagnetic theory with two observations, the photoelectric effect, and the nonexistence of the ultraviolet catastrophe, proved troublesome.	not_entailment	2
Which country does the Rhine encounter it's main tributaries?	It is here that the Rhine encounters some more of its main tributaries, such as the Neckar, the Main and, later, the Moselle, which contributes an average discharge of more than 300 m3/s (11,000 cu ft/s).	not_entailment	2
What is the language of Namibia?	The majority of Namibian whites and nearly all those who are mixed race speak Afrikaans and share similar origins, culture, and religion as the white and coloured populations of South Africa.	entailment	1
What was the protest in Antigone about?	One of the oldest depictions of civil disobedience is in Sophocles' play Antigone, in which Antigone, one of the daughters of former King of Thebes, Oedipus, defies Creon, the current King of Thebes, who is trying to stop her from giving her brother Polynices a proper burial.	entailment	1
What is Beyonce's percentage of ownership in the new venture?	The 50-50 venture is called Parkwood Topshop Athletic Ltd and is scheduled to launch its first dance, fitness and sports ranges in autumn 2015.	entailment	1
What is the percent of blacks?	In comparison, the 2010 Census Redistricting Data indicated that the racial makeup of the city was 661,839 (43.4%)	entailment	1
How was the civil disobedience shown in Antigone?	She gives a stirring speech in which she tells him that she must obey her conscience rather than human law.	entailment	1
Why does altitudinal migration occur in some tropical birds?	In the tropics there is little variation in the length of day throughout the year, and it is always warm enough for a food supply, but altitudinal migration occurs in some tropical birds.	not_entailment	1
Why did the economics department turn down Hayek's employment?	Hutchins had been attempting to force all departments to adopt the neo-Thomist Great Books program of Mortimer Adler, and the U. of Chicago economists were sick of Hutchins' meddling.	entailment	1
Generally speaking, what size are the earthquakes that hit southern California?	Nearly all of them are so small that they are not felt.	entailment	1
Where was Mary represented (according to the Holy document ) on the vessel that wandered the sea for forty days and forty nights ?	"""It said the Fathers saw foreshadowings of Mary's """"wondrous abundance of divine gifts and original innocence"""" """"in that ark of Noah, which was built by divine command and escaped entirely safe and sound from the common shipwreck of the whole world; in the ladder which Jacob saw reaching from the earth to heaven, by whose rungs the angels of God ascended and descended, and on whose top the Lord himself leaned; in that bush which Moses saw in the holy place burning on all sides, which was not consumed or injured in any way but grew green and blossomed beautifully; in that impregnable tower before the enemy, from which hung a thousand bucklers and all the armor of the strong; in that garden enclosed on all sides, which cannot be violated or corrupted by any deceitful plots; in that resplendent city of God, which has its foundations on the holy mountains; in that most august temple of God, which, radiant with divine splendours, is full of the glory of God; and in very many other biblical types of this kind."""""""	entailment	1
The earliest items in the jewelry collection come from which ancient civilization?	The jewellery collection, containing over 6000 items is one of the finest and most comprehensive collections of jewellery in the world and includes works dating from Ancient Egypt to the present day, as well as jewellery designs on paper.	entailment	1
What is the common term for the loss of key members of French society to Huguenot emigration?	The exodus of Huguenots from France created a brain drain, as many Huguenots had occupied important places in society.	entailment	1
In what city is WBT-FM located?	In North Carolina, WBT (1110 AM) will carry the game, with Mick Mixon on play-by-play and Eugene Robinson and Jim Szoke on color commentary.	not_entailment	1
What trend increases the organic composition of capital over the long term?	In Marxian analysis, capitalist firms increasingly substitute capital equipment for labor inputs (workers) under competitive pressure to reduce costs and maximize profits.	entailment	1
What battle outside Quebec City did British lose in 1760?	British victories continued in all theaters in the Annus Mirabilis of 1759, when they finally captured Ticonderoga, James Wolfe defeated Montcalm at Quebec (in a battle that claimed the lives of both commanders), and victory at Fort Niagara successfully cut off the French frontier forts further to the west and south.	not_entailment	1
What would need to remain constant in a multiplication algorithm to produce the same outcome whether multiplying or squaring two integers?	Indeed, this can be done by giving the same input to both inputs of the multiplication algorithm.	entailment	1
Prior to the popularity of lethal injection, what was the preferred method of executing criminals in America?	Some, particularly in Florida, were noted for malfunctions, which caused discussion of their cruelty and resulted in a shift to lethal injection as the preferred method of execution.	not_entailment	1
At what size and larger can drugs elicit a neutralizing immune response?	This limits the effectiveness of drugs based on larger peptides and proteins (which are typically larger than 6000 Da).	not_entailment	1
What was the purpose of the fruit walls built by French and English farmers?	During the short growing seasons of the Little Ice Age, French and English farmers employed fruit walls to maximize the collection of solar energy.	not_entailment	1
What natural resources did the Chinese government have a monopoly on?	He instituted the reforms proposed by his Chinese advisers by centralizing the bureaucracy, expanding the circulation of paper money, and maintaining the traditional monopolies on salt and iron.	entailment	1
What position did Victoria take on being shot at?	On 2 March 1882, Roderick Maclean, a disgruntled poet apparently offended by Victoria's refusal to accept one of his poems, shot at the Queen as her carriage left Windsor railway station.	not_entailment	1
What was the only year that a full series was not filmed since 2005?	There have since been nine further series in 2006–2008 and 2010–2015, and Christmas Day specials every year since 2005.	not_entailment	1
Who is properly in the major office in the commonwealth?	"""Few szlachta were wealthy enough to be known as magnates (karmazyni—the """"Crimsons"""", from the crimson colour of their boots)."""	entailment	1
How was Erichtho portrayed?	"""Lucan depicts Sextus Pompeius, the doomed son of Pompey the Great, as convinced """"the gods of heaven knew too little"""" and awaiting the Battle of Pharsalus by consulting with the Thessalian witch Erichtho, who practices necromancy and inhabits deserted graves, feeding on rotting corpses."""	not_entailment	1
FireWire 400 is faster than what?	The newer FireWire 800 standard is twice as fast as FireWire 400 and faster than USB 2.0 Hi-Bandwidth both theoretically and practically.	not_entailment	1
"""When was """"The Aims of Education and Other Essays"""" published?"""	The Aims of Education and Other Essays, which collected numerous essays and addresses by Whitehead on the subject published between 1912 and 1927.	not_entailment	1
What are roche moutonnee?	"""Some rock formations in the path of a glacier are sculpted into small hills called roche moutonnée, or """"sheepback"""" rock."""	not_entailment	1
What did the REF give Imperial as an overall GPA?	"""In rankings produced by Times Higher Education based upon the REF results Imperial was ranked 2nd overall for GPA and 8th for """"research power"""" (compared to 6th and 7th respectively in the equivalent rankings for the RAE 2008)."""	not_entailment	1
Where did most settlement occur after the Louisiana Purchase?	Also referred to as the Panhandle or Inside Passage, this is the region of Alaska closest to the rest of the United States.	entailment	1
Who was the founder of Manjupattan?	The lake was cut drained by Bodhisatwa Manjusri with his sword and the water was evacuated out from there	entailment	1
In 1913, the Tennessee state legislature made which organizational structure the default form of city government in the state?	In the early 1900s, the state legislature approved a form of commission government for cities based on at-large voting for a few positions on a Board of Commission; several adopted this as another means to limit African-American political participation.	entailment	1
"""What is """"the american colonization society""""?"""	In the United States, there was a movement to resettle American free blacks and freed slaves in Africa.	entailment	1
What types of work did the Han do in Central Asia?	At the same time the Mongols imported Central Asian Muslims to serve as administrators in China, the Mongols also sent Han Chinese and Khitans from China to serve as administrators over the Muslim population in Bukhara in Central Asia, using foreigners to curtail the power of the local peoples of both lands.	not_entailment	1
In Swaziland, what is SIMPA?	In addition to these institutions, Swaziland also has the Swaziland Institute of Management and Public Administration (SIMPA) and Institute of Development Management (IDM).	not_entailment	1
On what date in 2011 was the hold on Schwarzenegger's movie projects announced?	On July 11, 2011, it was announced that Schwarzenegger was considering a comeback film despite his legal problems.	not_entailment	1
What problems could occur with laser rot?	"""This was a problem that was termed """"laser rot"""" among LD enthusiasts, also called """"color flash"""" internally by LaserDisc-pressing plants."""	not_entailment	1
Before which military campaign did Chagatai publicly dispute Jochi's paternity?	In The Secret History of the Mongols, just before the invasion of the Khwarezmid Empire by Genghis Khan, Chagatai declared before his father and brothers that he would never accept Jochi as Genghis Khan's successor.	entailment	1
Where in the bulb is evaporated tungsten deposited when a vacuum is used?	For bulbs that contain a vacuum, the darkening is uniform across the entire surface of the envelope.	entailment	1
What has many organizations claiming ownership of patents related to aspects of MP3 led to?	In the past, many organizations have claimed ownership of patents related to MP3 decoding or encoding.	not_entailment	1
What impact did this loss have on Abercrombie?	Abercrombie saved something from the disaster when he sent John Bradstreet on an expedition that successfully destroyed Fort Frontenac, including caches of supplies destined for New France's western forts and furs destined for Europe.	not_entailment	1
In what language did Anjiro speak to Xavier?	Xavier made the decision to go to Japan in part because this low-ranking samurai convinced him in Portuguese that the Japanese people were highly educated and eager to learn.	entailment	1
What religion is the western region mostly?	The upper part of Kenya's Eastern Region is home to 10% of the country's Muslims, where they constitute the majority religious group.	not_entailment	1
How many species have ever lived on earth?	Estimates on the number of Earth's current species range from 10 million to 14 million, of which about 1.2 million have been documented and over 86 percent have not yet been described.	not_entailment	1
Who agreed to turn the United Provinces into a protectorate of England?	However, the latter agreed to turn the United Provinces into a protectorate of England (Treaty of Nonsuch, 1585), and sent the Earl of Leicester as governor-general.	not_entailment	1
What success did Abercrombie gain out of the defeat at Carillon?	The third invasion was stopped with the improbable French victory in the Battle of Carillon, in which 3,600 Frenchmen famously and decisively defeated Abercrombie's force of 18,000 regulars, militia and Native American allies outside the fort the French called Carillon and the British called Ticonderoga.	not_entailment	1
In which year were these allegations raised?	Nevertheless, allegations of bullying have continued: in 2007, concerns were raised about the methods that were being used to fire people in the Faculty of Medicine.	not_entailment	1
In what year did Tesla graduate from the Higher Real Gymnasium?	In 1870, Tesla moved to Karlovac, to attend school at the Higher Real Gymnasium, where he was profoundly influenced by a math teacher Martin Sekulić.:32	not_entailment	1
Which political party holds the majority of most office terms in NYC?	The Democratic Party holds the majority of public offices.	not_entailment	1
Cubism revolutionized the way things could be seen in art how?	This new kind of depiction revolutionized the way objects could be visualized in painting and art.	not_entailment	1
Who signed NAFTA for Mexico?	The economic reforms of President Carlos Salinas de Gortari had a tremendous effect on the city, as a number of businesses, including banks and airlines, were privatized.	entailment	1
The 1998 Good Friday Agreement resulted in what arrangement?	The Northern Ireland Executive and the Government of Ireland also meet as the North/South Ministerial Council to develop policies common across the island of Ireland.	entailment	1
What was AUSTPAC	Started by Telecom Australia in the early 1980s, AUSTPAC was Australia's first public packet-switched data network, supporting applications such as on-line betting, financial applications — the Australian Tax Office made use of AUSTPAC — and remote terminal access to academic institutions, who maintained their connections to AUSTPAC up until the mid-late 1990s in some cases.	not_entailment	1
Who missed a field goal for the Panthers?	But the Broncos defense halted the drive on the 26-yard line, and it ended with no points when Graham Gano hit the uprights on a 44-yard field goal attempt.	entailment	1
What does it mean when someones sexualiity is fluid?	such that one's sexual orientation is not necessarily stable or consistent over time but is subject to change throughout life.	entailment	1
What did the Mongol elites wish Buyantu didn't do?	He was the first Yuan emperor to actively support and adopt mainstream Chinese culture after the reign of Kublai, to the discontent of some Mongol elite.	entailment	1
What is considered to be the the Korean War's equivalent to Gettysburg?	In mid-February, the PVA counterattacked with the Fourth Phase Offensive and achieved initial victory at Hoengseong.	entailment	1
What was the GDP growth rate of Greece in 2013?	Greece achieved a real GDP growth rate of 0.7% in 2014 after 6 years of economic decline, but fell back into recession in 2015.	not_entailment	1
Who ordered that a hymn be composed that first mentioned the Somalis?	During the wars between the Sultanate of Ifat based at Zeila and the Solomonic Dynasty, the Abyssinian Emperor had one of his court officials compose a hymn celebrating a military victory over the Sultan of Ifat's eponymous troops.	entailment	1
What kind of bureaucracy did the Normans institute?	Institutionally, the Normans combined the administrative machinery of the Byzantines, Arabs, and Lombards with their own conceptions of feudal law and order to forge a unique government.	not_entailment	1
Who had Toghtogha tried to defeat?	He had tried to regain Khanbaliq, which eventually failed; he died in Yingchang (located in present-day Inner Mongolia)	not_entailment	1
What do ctenophores have that no other animals have?	Ctenophores form an animal phylum that is more complex than sponges, about as complex as cnidarians (jellyfish, sea anemones, etc.), and less complex than bilaterians (which include almost all other animals).	not_entailment	1
Where is the neighborhood of Sunnyside located in Fresno?	"""Although parts of Sunnyside are within the City of Fresno, much of the neighborhood is a """"county island"""" within Fresno County."""	not_entailment	1
How was the fate of Luther decided?	"""The Emperor presented the final draft of the Edict of Worms on 25 May 1521, declaring Luther an outlaw, banning his literature, and requiring his arrest: """"We want him to be apprehended and punished as a notorious heretic."""	not_entailment	1
What types of European groups were able to avoid the plague?	The plague was somewhat less common in parts of Europe that had smaller trade relations with their neighbours, including the Kingdom of Poland, the majority of the Basque Country, isolated parts of Belgium and the Netherlands, and isolated alpine villages throughout the continent.	entailment	1
How many member of the Association of American Universities are in Boston?	Four members of the Association of American Universities are in Greater Boston (more than any other metropolitan area):	not_entailment	1
What kind of bombing raids were most favored?	It was thought there was no defence against air attack, particularly at night.	entailment	1
Who wrote the story on Tulisa Contostavlos?	On Sunday's undercover reporter Mahzer Mahmood, who had previously worked for the News of the World.	entailment	1
What festival is held in October in Newcastle?	The SAMA Festival, an East Asian cultural festival is also held in early October.	not_entailment	1
What geographical region lies west of the Tennessee bottom land?	To the west of this narrow strip of land is a wide area of rolling hills and streams that stretches all the way to the Mississippi River; this area is called the Tennessee Bottoms or bottom land.	not_entailment	1
Because higher performance was needed, Krupp's workers designed what?	Germany's high-altitude needs were originally going to be filled by a 75 mm gun from Krupp, designed in collaboration with their Swedish counterpart Bofors, but the specifications were later amended to require much higher performance.	not_entailment	1
What percentage of loanwords are present in Dutch vocabulary?	The main foreign influence on Dutch vocabulary since the 12th century and culminating in the French period has been French and (northern) French, accounting for an estimated 6.8%, or more than a third of all loanwords.	not_entailment	1
Where was media day for Super Bowl 50 held?	The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night.	not_entailment	1
Which companies did Nintendo try to get to make a CD add-on for the SNES?	During the SNES's life, Nintendo contracted with two different companies to develop a CD-ROM-based peripheral for the console to compete with Sega's CD-ROM based addon, Mega-CD.	not_entailment	1
