question	sentence	index	times
What city is Dell's New Hampshire facility in?	Dell facilities in the United States are located in Austin, Texas; Plano, Texas; Nashua, New Hampshire; Nashville, Tennessee; Oklahoma City, Oklahoma; Peoria, Illinois; Hillsboro, Oregon (Portland area); Winston-Salem, North Carolina; Eden Prairie, Minnesota (Dell Compellent); Bowling Green, Kentucky; Lincoln, Nebraska; and Miami, Florida.	entailment	1
How many square kilometers of ocean do the Marshall Islands cover?	The two island chains lie approximately parallel to one another, running northwest to southeast, comprising about 750,000 square miles (1,900,000 km2) of ocean but only about 70 square miles (180 km2) of land mass.	entailment	1
Which U.S. government agency keeps a large amount of information on genomes?	The US National Institutes of Health maintains one of several comprehensive databases of genomic information.	entailment	1
How many Muslims are believed to live on earth?	Muslims are the majority in 49 countries, they speak hundreds of languages and come from diverse ethnic backgrounds.	not_entailment	1
According to the OECD, what is Switzerland lagging behind many EU countries in?	Apart from agriculture, economic and trade barriers between the European Union and Switzerland are minimal and Switzerland has free trade agreements worldwide.	not_entailment	1
How many acres is the Bureau of Land Management in charge of?	According to an October 1998 report by the United States Bureau of Land Management, approximately 65% of Alaska is owned and managed by the U.S. federal government as public lands, including a multitude of national forests, national parks, and national wildlife refuges.	not_entailment	1
Where were the scenes featuring planes shot?	With filming completed in Rome, production moved to Mexico City in late March to shoot the film's opening sequence, with scenes to include the Day of the Dead festival filmed in and around the Zócalo and the Centro Histórico district.	not_entailment	1
What did Spain trade Florida for	In 1763, Spain traded Florida to the Kingdom of Great Britain for control of Havana, Cuba, which had been captured by the British during the Seven Years' War.	entailment	1
What different kinds of law make up the laws of the United States?	The United States Code is the official compilation and codification of general and permanent federal statutory law.	not_entailment	1
What is another way in which animals are distinguished from plants and algae?	They are also distinguished from plants, algae, and fungi by lacking rigid cell walls.	entailment	1
What smaller university is in Utrecht	According to Shanghai Jiaotong University's university ranking in 2014 it is the 57th best university in the world.	not_entailment	1
What was the industry standard in Europe for record equalization?	In the US there were more varied practices and a tendency to use higher bass turnover frequencies such as 500 Hz as well as a greater treble rolloff like −8.5 dB and even more to record generally higher modulation levels on the record.	not_entailment	1
"""When was """"The Designs of Inigo Jones"""" book published?"""	At first the book mainly featured the work of Inigo Jones, but the later tomes contained drawings and plans by Campbell and other 18th-century architects.	not_entailment	1
What was the date of an attempted assasination on Napoleon?	Victoria and Albert attended the opening of a new basin at the French military port of Cherbourg on 5 August 1858, in an attempt by Napoleon III to reassure Britain that his military preparations were directed elsewhere.	not_entailment	1
Who works closely with the definition of the Near East?	As its Near East is not different from the State Department's it does not appear in the table.	not_entailment	1
Which artistic principle was innovated by Brunelleschi?	Greater realism was also achieved through the scientific study of anatomy, championed by artists like Donatello.	not_entailment	1
How many independent labels did the Merlin Network represent?	"""In May 2014, prior to the launch of YouTube's subscription-based Music Key service, the independent music trade organization Worldwide Independent Network alleged that YouTube was using non-negotiable contracts with independent labels that were """"undervalued"""" in comparison to other streaming services, and that YouTube would block all music content from labels who do not reach a deal to be included on the paid service."""	not_entailment	1
The leader in Indian crude oil production at 250,000 barrels per day is what region?	The government of India has given permission to extract 300,000 barrels of crude per day from Barmer region which is now 175,000 barrels per day.	not_entailment	1
Which conquistador from Spain conquered the Aztec Empire?	When the Spanish conquistador Hernán Cortés and his soldiers conquered the Aztec Empire in 1519-1521, they discovered slowly that the Aztecs had another treasure beside silver and gold; they had the tiny cochineal, a parasitic scale insect which lived on cactus plants, which, when dried and crushed, made a magnificent red.	entailment	1
What desert constitutes most of Egypt territory?	The large regions of the Sahara desert, which constitute most of Egypt's territory, are sparsely inhabited.	entailment	1
Who was elected for the Sutton and Devonport constitutency in 2015?	In the Parliament of the United Kingdom, Plymouth is represented by the three constituencies of Plymouth Moor View, Plymouth Sutton and Devonport and South West Devon and within the European Parliament as South West England.	not_entailment	1
What was the final goal of the state economic system?	The ultimate aim was to increase the state revenues without damaging the prosperity of subjects to prevent the emergence of social disorder and to keep the traditional organization of the society intact.	entailment	1
Shorter wavelength diodes provide wavelengths as low as what?	Shorter-wavelength diodes, while substantially more expensive, are commercially available for wavelengths down to 240 nm.	entailment	1
What percentage of the RSFSR was made up of plains?	The area is rich in mineral resources, including petroleum, natural gas, and iron ore.	not_entailment	1
Why does altitudinal migration occur in some tropical birds?	There is evidence that this enables the migrants to obtain more of their preferred foods such as fruits.	entailment	1
How are the human rights in the CAR?	The 2009 Human Rights Report by the United States Department of State noted that human rights in CAR were poor and expressed concerns over numerous government abuses.	entailment	1
What type of orchids used to be pleantiful	Apple orchards were once plentiful, and Somerset is still a major producer of cider.	entailment	1
What did John inherit in England?	John inherited a sophisticated system of administration in England, with a range of royal agents answering to the Royal Household: the Chancery kept written records and communications; the Treasury and the Exchequer dealt with income and expenditure respectively; and various judges were deployed to deliver justice around the kingdom.	entailment	1
What did the studies show there was a lack of understanding of by the population?	Among these problems are the lack of information about food choices, a lack of understanding of nutritional information and its application to individual circumstances, limited or difficult access to healthful foods, and a range of cultural influences and socioeconomic constraints such as low levels of education and high levels of poverty that decrease opportunities for healthful eating and living.	entailment	1
Greece holds what rank among most visited countries in the world?	Greece is a developed country with high standards of living[citation needed] and high Human Development Index.	not_entailment	1
What date was the first movie played in Paris for a paying crowd?	The movie industry was born in Paris when Auguste and Louis Lumière projected the first motion picture for a paying audience at the Grand Café on 28 December 1895.	entailment	1
In what year was the suspension of the death penalty in the United States ended?	Capital punishment was suspended in the United States from 1972 through 1976 primarily as a result of the Supreme Court's decision in Furman v. Georgia.	entailment	1
What system were institutes of technology a part of during the seventies, eighties, and early nineties?	During the 1970s to early 1990s, the term was used to describe state owned and funded technical schools that offered both vocational and higher education.	not_entailment	1
What occurs when a player in association football is shown a red penalty card?	A red penalty card is issued to a player who commits a serious infraction: the player is immediately disqualified from further play and his team must continue with one less player for the game's duration.	entailment	1
When did Creative and Apple come to an agreement over their intellectual property issues?	On August 24, 2006, Apple and Creative announced a broad settlement to end their legal disputes.	entailment	1
On what date in 2013 was it 15.4 degrees Fahrenheit in Kathmandu?	During a 2013 cold front, the winter temperatures of Kathmandu dropped to −4 °C (25 °F), and the lowest temperature was recorded on January 10, 2013, at −9.2 °C (15.4 °F).	entailment	1
What sector provides about a quarter of Southampton's available jobs?	Just over a quarter of the jobs available in the city are in the health and education sector.	entailment	1
What percentage of households use solar hot water systems in Israel and Cyprus?	In the United States, Canada and Australia heating swimming pools is the dominant application of solar hot water with an installed capacity of 18 GWth as of 2005.	not_entailment	1
How large was the biggest find of copper?	Copper is synthesized in massive stars and is present in the Earth's crust at a concentration of about 50 parts per million (ppm), where it occurs as native copper or in minerals such as the copper sulfides chalcopyrite and chalcocite, the copper carbonates azurite and malachite, and the copper(I) oxide mineral cuprite.	not_entailment	1
What regions in the world does this apply in?	"""This has led to widespread problems with antimicrobial and antibiotic resistance, so much as to prompt the World Health Organization to classify antimicrobial resistance as a """"serious threat [that] is no longer a prediction for the future, it is happening right now in every region of the world and has the potential to affect anyone, of any age, in any country""""."""	entailment	1
How long was the state of the Soviet regime unrecognized by other countries?	The state it governed, which did not have an official name, would be unrecognized by neighboring countries for another five months.	entailment	1
What was Captain Byron doing when he visited Tuvalu?	Keith S. Chambers and Doug Munro (1980) identified Niutao as the island that Francisco Mourelle de la Rúa sailed past on 5 May 1781, thus solving what Europeans had called The Mystery of Gran Cocal.	not_entailment	1
Where was the new title of Empress of India proclaimed?	The new title was proclaimed at the Delhi Durbar of 1 January 1877.	entailment	1
What is a major benefit to rabbits having a higher concentration of copper in their diet?	A minimum dietary value for healthy growth in rabbits has been reported to be at least 3 ppm in the diet.	not_entailment	1
Who came up with the Dialect Test?	A nonstandard dialect, like a standard dialect, has a complete vocabulary, grammar, and syntax, but is usually not the beneficiary of institutional support.	not_entailment	1
The Belgian Suite is located at the bottom of which staircase?	The rooms of the suite are linked by narrow corridors, one of them is given extra height and perspective by saucer domes designed by Nash in the style of Soane.	not_entailment	1
Who was responsible for the invention of the seismometer?	Using a water clock, waterwheel and a series of gears, the Court Astronomer Zhang Heng (78–139 AD) was able to mechanically rotate his metal-ringed armillary sphere.	entailment	1
Around when were the first opaque glazes developed?	The first Islamic opaque glazes can be found as blue-painted ware in Basra, dating to around the 8th century.	entailment	1
What game was bundled with the SNS-101?	Like the earlier redesign of the NES (the NES-101 model), the new model was slimmer and lighter than its predecessor, but it lacked S-Video and RGB output, and it was among the last major SNES-related releases in the region.	not_entailment	1
What group that had been to this point neglected was included in this thought?	They sought to create a citizenry (frequently including women) able to speak and write with eloquence and clarity and thus capable of engaging the civic life of their communities and persuading others to virtuous and prudent actions.	entailment	1
Which sport was quickly adopted?	Once these sports reached Bermuda, they were eagerly adopted by Bermudians.	not_entailment	1
In exchange for altering the property to a more beneficial state, what does the landowner gain from the Safe Harbor agreement?	"""The landowner agrees to alter the property to benefit or even attract a listed or proposed species in exchange for assurances that the FWS will permit future """"takes"""" above a pre-determined level."""	entailment	1
At what age could a male common expect to be conscripted into the military?	At the beginning of the Han dynasty, every male commoner aged twenty-three was liable for conscription into the military.	entailment	1
Where were dogs introduced then to help people socialize people?	The practice of using dogs and other animals as a part of therapy dates back to the late 18th century, when animals were introduced into mental institutions to help socialize patients with mental disorders.	entailment	1
Whom did the Nizam ally with in the late 18th century?	In 1769 Hyderabad city became the formal capital of the Nizams.	not_entailment	1
What three regions do some linguists divide Russian into?	"""Some linguists divide the dialects of Russian into two primary regional groupings, """"Northern"""" and """"Southern"""", with Moscow lying on the zone of transition between the two."""	not_entailment	1
The state's economy was largely defined by these two industries.	The state economy was largely defined by ranching and mining.	entailment	1
When did the right to create ordynacja's happen?	One of the most important victories of the magnates was the late 16th century right to create ordynacja's (similar to majorats), which ensured that a family which gained wealth and power could more easily preserve this.	entailment	1
Frontiersmen from the Carolinas moved west into what area that is now known as Tennessee?	Many Carolinian frontiersmen had moved west over the mountains, into the Washington District (later known as Tennessee), but in 1789, following the Revolution, the state was persuaded to relinquish its claim to the western lands.	entailment	1
In what branch can books, other than scripture, be used for the purpose of oath taking?	In most Lodges the oath or obligation is taken on a Volume of Sacred Law, whichever book of divine revelation is appropriate to the religious beliefs of the individual brother (usually the Bible in the Anglo-American tradition).	not_entailment	1
Is the Suez Canal natural?	The Suez Canal is an artificial sea-level waterway in Egypt considered the most important centre of the maritime transport in the Middle East, connecting the Mediterranean Sea and the Red Sea.	entailment	1
What did the repair centers promise?	According to Nintendo, the authorization program was designed to ensure that the machines were properly repaired.	entailment	1
What compression is usually performed with even more specialized techniques?	Compression of human speech is often performed with even more specialized techniques; speech coding, or voice coding, is sometimes distinguished as a separate discipline from audio compression.	entailment	1
In which area are summer temperatures not high enough to release meltwater from glaciers?	Within high altitude and Antarctic environments, the seasonal temperature difference is often not sufficient to release meltwater.	entailment	1
When did Henry II appropriate the estates of the late Earl of Cornwall?	John had spent the conflict travelling alongside his father, and was given widespread possessions across the Angevin empire as part of the Montlouis settlement; from then onwards, most observers regarded John as Henry II's favourite child, although he was the furthest removed in terms of the royal succession.	not_entailment	1
How long was the interval between the visits from the United States Secretary of State officials ?	The impact of the post-election reforms has been observed in numerous areas, including ASEAN's approval of Myanmar's bid for the position of ASEAN chair in 2014; the visit by United States Secretary of State Hillary Clinton in December 2011 for the encouragement of further progress—it was the first visit by a Secretary of State in more than fifty years (Clinton met with the Burmese president and former military commander Thein Sein, as well as opposition leader Aung San Suu Kyi); and the participation of Aung San Suu Kyi's National League for Democracy (NLD) party in the 2012 by-elections, facilitated by the government's abolition of the laws that previously barred the NLD.	entailment	1
What was the most severe form of physical punishment at Eton referred to as?	This was the most severe form of physical punishment at Eton.	not_entailment	1
Which organization filed an accessibility lawsuit?	As a result of a 2008 decision in an accessibility lawsuit filed by the American Council of the Blind, the Bureau of Engraving and Printing is planning to implement a raised tactile feature in the next redesign of each note, except the $1 and the version of the $100 bill already in process.	entailment	1
In which music video did Beyoncé star as Jay Z's girlfriend, creating speculation about their relationship?	"""Beyoncé is believed to have first started a relationship with Jay Z after a collaboration on """"'03 Bonnie & Clyde"""", which appeared on his seventh album"""	entailment	1
By what name is the era in the 3rd millennium around 1500 BC known?	The Bronze Age arrived circa 1500 BC when people in the region were turning copper into bronze, growing rice and domesticating poultry and pigs; they were among the first people in the world to do so.	entailment	1
Where was Time Magazine started?	Time Magazine was started at 141 East 17th Street.	entailment	1
Which countries speak other Slavic languages?	However, younger generations are usually not fluent in it, because Russian is no longer mandatory in the school system.	not_entailment	1
What does Χριστός (Christos) mean?	"""The Greek word Χριστιανός (Christianos), meaning """"follower of Christ"""", comes from Χριστός (Christos), meaning """"anointed one"""", with an adjectival ending borrowed from Latin to denote adhering to, or even belonging to, as in slave ownership."""	entailment	1
What geographic portion of the front did the Sixth US Army Group operate on?	Field Marshal Montgomery insisted priority be given to his 21st Army Group's attack being made in the north, while Generals Bradley (12th U.S. Army Group) and Devers (Sixth U.S. Army Group) insisted they be given priority in the center and south of the front (respectively).	entailment	1
How many hospitals belong to the Medical Center group of organizations?	All 49 member institutions of the Texas Medical Center are non-profit organizations.	not_entailment	1
Together, Bristol, Johnson City, and Kingsport are known by what name?	The third urban area, the Tri-Cities, comprising Bristol, Johnson City, and Kingsport and their environs, is located to the northeast of Knoxville.	entailment	1
What was Virgil Griffith focused on?	Griffith was motivated by the edits from the United States Congress, and wanted to see if others were similarly promoting themselves.	not_entailment	1
What can be a intrinsic component of landscaping?	Indoor lighting is usually accomplished using light fixtures, and is a key part of interior design.	entailment	1
What determines a mammals diet type?	To maintain a high constant body temperature is energy expensive – mammals therefore need a nutritious and plentiful diet.	not_entailment	1
what was built in the 1920's and 1930's	During this period, several Jugendstil houses and office buildings were built, followed by Rietveld who built the Rietveld Schröder House (1924), and Dudok's construction of the city theater (1941).	not_entailment	1
How many metric tons of bananas and copra does Samoa produce each year?	If the rhinoceros beetle in Samoa were eradicated, Samoa could produce in excess of 40,000 metric tons (44,000 short tons) of copra.	not_entailment	1
What is increased in female dogs with neutering?	Neutering reduces problems caused by hypersexuality, especially in male dogs.	not_entailment	1
What is lacking in Protestantism, according to the Roman Catholic Church?	According to Bishop Hilarion (Alfeyev) the Eastern Orthodox Church shares the same view on the subject.	not_entailment	1
What looks at the entire DNA mixture?	Studies of autosomal DNA, which look at the entire DNA mixture, have become increasingly important as the technology develops.	entailment	1
Who led the Estado Novo?	These actions were used to affirm Portugal's status as a transcontinental nation and not as a colonial empire.	not_entailment	1
What football game tradition has since been discontinued?	There are traditions long associated with football games.	not_entailment	1
What are the scriptures on vinaya called?	Vinaya is the specific moral code for monks and nuns.	not_entailment	1
What sort of customers did Selfridges most often cater to?	Selfridge attracted shoppers with educational and scientific exhibits; – in 1909, Louis Blériot's monoplane was exhibited at Selfridges (Blériot was the first to fly over the English Channel), and the first public demonstration of television by John Logie Baird took place in the department store in 1925.	entailment	1
Postmodern music is also know as what?	"""Others have more or less equated postmodern music with the """"contemporary music"""" composed from the late 20th century through to the early 21st century."""	entailment	1
The lower case letters caused a differ in the patter, what did this cause?	Locating the lowercase letters in columns 6 and 7 caused the characters to differ in bit pattern from the upper case by a single bit, which simplified case-insensitive character matching and the construction of keyboards and printers.	entailment	1
When was the 50th anniversary of his death?	The people that gathered there at the tomb were from Bergamo, the province where the late pope came from.	not_entailment	1
How do most animals use the energy of sunlight?	They are either used directly to help the animal grow, or broken down, releasing stored solar energy, and giving the animal the energy required for motion.	not_entailment	1
What are the causes of secretory diarrhea?	Secretory diarrhea means that there is an increase in the active secretion, or there is an inhibition of absorption.	not_entailment	1
In what Orthagraphy does Modern Estonian orthography have its basis?	Modern Estonian orthography is based on the Newer Orthography created by Eduard Ahrens in the second half of the 19th century based on Finnish orthography.	entailment	1
Who was held responsible for the actions of the KPA?	In their southward advance, the KPA purged the Republic of Korea's intelligentsia by killing civil servants and intellectuals.	not_entailment	1
What is an example of an article +stressed forms?	in favour of constructions of article + stressed forms (el meu, etc.), a feature shared with Italian.	entailment	1
What sort of considerations does architectural design take into account?	Documentation produced by architects, typically drawings, plans and technical specifications, defines the structure and/or behavior of a building or other kind of system that is to be or has been constructed.	not_entailment	1
Who founded the Gelug school?	The following 80 years saw the founding of the Gelug school (also known as Yellow Hats) by the disciples of Je Tsongkhapa, and the founding of the important Ganden, Drepung and Sera monasteries near Lhasa.	entailment	1
The Saronic gulf is near what city?	The Greek islands are traditionally grouped into the following clusters:	not_entailment	1
The royal courts sponsored both Buddhism and what?	Various classes of Vajrayana literature developed as a result of royal courts sponsoring both Buddhism and Saivism.	entailment	1
What were the primary contaminants contained in the pollution discharged into the Housatonic River?	Aroclor 1254 and Aroclor 1260, made by Monsanto was the primary contaminant of the pollution.	entailment	1
What institution is accredited by the North Central Association of Colleges and Schools?	Its FAA Academy is accredited by the North Central Association of Colleges and Schools.	not_entailment	1
What do plant roots prevent?	The study of plants is vital because they underpin almost all animal life on Earth by generating a large proportion of the oxygen and food that provide humans and other organisms with aerobic respiration with the chemical energy they need to exist.	not_entailment	1
What writer was known to visit both the Cheshire Cheese and the Prospect of Whitby?	However, Charles Dickens is known to have visited the Cheshire Cheese, the Prospect of Whitby, Ye Olde Cock Tavern and many others.	entailment	1
What is the main lanuage of Bern?	Most of the population (as of 2000[update]) speaks German (104,465 or 81.2%) as their first language, Italian is the second most common (5,062 or 3.9%) and French is the third (4,671 or 3.6%).	entailment	1
For every 100 females age 18 and over, how many males were there?	For every 100 females there were 96.1 males.	not_entailment	1
What is a hypodesecnt rule?	Anthropologists called it an example of a hypodescent rule, meaning that racially mixed persons were assigned the status of the socially subordinate group.	entailment	1
What caused early aircraft carriers to be made up of conversions of ships that were previously cargo ships, cruisers or battlecruisers?	As a result of the Washington Naval Treaty of 1922, which limited the construction of new heavy surface combat ships, most early aircraft carriers were conversions of ships that were laid down (or had served) as different ship types: cargo ships, cruisers, battlecruisers, or battleships.	entailment	1
From which jhana did Buddha gain bodhi?	According to the Mahāsaccakasutta,[note 33] from the fourth jhana the Buddha gained bodhi.	entailment	1
What are three pests pesticides target?	Although pesticides have benefits, some also have drawbacks, such as potential toxicity to humans and other species.	not_entailment	1
How far does the Alps range stretch?	In areas like Chiasso, Switzerland, and Neuschwanstein, Bavaria, the demarcation between the mountain range and the flatlands are clear; in other places such as Geneva, the demarcation is less clear.	not_entailment	1
When was the Taiping rebellion?	The Taiping Rebellion (1850–64) and Dungan Revolt (1862–77) in Central Asia led to the deaths of some 20 million people.	entailment	1
W is set to to be the major stock holder of the business that first rang a bell to begin in the winter of 2014 in Myanmar ?	The Yangon Stock Exchange Joint Venture Co. Ltd will be set up with Myanma Economic Bank sharing 51 percent, Japan's Daiwa Institute of Research Ltd 30.25 percent and Japan Exchange Group 18.75 percent.	entailment	1
In what countries is Protestantism one of the most popular (but not THE most popular) religions?	In other historical Protestant strongholds such as Germany, the Netherlands, Switzerland, Latvia, Estonia and Hungary, it remains one of the most popular religions.	entailment	1
What method did manufacturers use much of the time to compare film speeds?	Still, it remained difficult for manufactures to reliably determine film speeds, often only by comparing with competing products, so that an increasing number of modified semi-Scheiner-based systems started to spread, which no longer followed Scheiner's original procedures and thereby defeated the idea of comparability.	entailment	1
Where was an indoor ceremony held since the outdoor relay was cancelled?	"""The relay was initially supposed to carry the torch around Islamabad, but the entire relay was cancelled due to security concerns regarding """"militant threats or anti-China protests"""", and replaced by an indoors ceremony with the torch carried around the track of Jinnah Stadium."""	entailment	1
What day of the week does DST begin and end in Chile?	For example, mainland Chile observed DST from the second Saturday in October to the second Saturday in March, with transitions at 24:00 local time.	entailment	1
When did the torch arrive in Canberra?	The event was held in Canberra, Australian Capital Territory on April 24, and covered around 16 km of Canberra's central areas, from Reconciliation Place to Commonwealth Park.	entailment	1
What did secondary modern and grammar schools combine to become?	Over that 10-year period many secondary modern schools and grammar schools were amalgamated to form large neighbourhood comprehensives, whilst a number of new schools were built to accommodate a growing school population.	entailment	1
What did the beginning of the 18th century mark the beginning of in Europe?	The 18th century saw the beginning of secularization in Europe, rising to notability in the wake of the French Revolution.	entailment	1
If someone contemplates God forever, what type of knowledge will they obtain?	Thus, contemplation forever produces a mystified, imperfect knowledge of God.	entailment	1
What was less standardized during the Baroque era?	One major difference between Baroque music and the classical era that followed it is that the types of instruments used in ensembles were much less standardized.	entailment	1
When was the Pyrenees Cup play begun?	The latter became the club's first full-time coach in 1917.	not_entailment	1
The Southern Baptist Convention adhered to what as its official position?	Following similar conflicts over modernism, the Southern Baptist Convention adhered to conservative theology as its official position.	entailment	1
Who was President of the Christian Unity Secretariat?	Bea also was strongly involved in the passage of Nostra aetate, which regulates the Church's relations with the Jewish faith and members of other religions.[d]	not_entailment	1
When did the FBI abandon Carnivore?	The Associated Press reported in mid-January 2005 that the FBI essentially abandoned the use of Carnivore in 2001, in favor of commercially available software, such as NarusInsight.	entailment	1
Who were MBE'S?	The members of The Beatles were made MBEs in 1965.	entailment	1
Approximately how many Israeli Jews are born in Israel?	Jews from Europe and the former Soviet Union and their descendants born in Israel, including Ashkenazi Jews, constitute approximately 50% of Jewish Israelis.	not_entailment	1
what countries is the Commission for Environmental Cooperation made up of?	"""The North American Environmental Atlas, produced by the Commission for Environmental Cooperation, a NAFTA agency composed of the geographical agencies of the Mexican, American, and Canadian governments uses the """"Great Plains"""" as an ecoregion synonymous with predominant prairies and grasslands rather than as physiographic region defined by topography."""	entailment	1
What is an example of a political text where the term Bosnian/Croatian/Serbian was used to describe the language?	Croatian linguist Dalibor Brozović advocated the term Serbo-Croatian as late as 1988, claiming that in an analogy with Indo-European, Serbo-Croatian does not only name the two components of the same language, but simply charts the limits of the region in which it is spoken and includes everything between the limits (‘Bosnian’ and ‘Montenegrin’).	not_entailment	1
How many people died in the textile factory riots?	While most of the RCC insisted on executing the riot's two ringleaders, Nasser opposed this.	not_entailment	1
How many bikes are involved in the bike share system?	This includes North America's second-largest bicycle sharing system, EcoBici, launched in 2010, in which registered residents can get bicycles for 45 minutes with a pre-paid subscription of 300 pesos a year.	not_entailment	1
Which Hungarian ruler was killed at the Battle of Varna?	After the tragic death of the young king Vladislaus I of Hungary during the Battle of Varna in 1444 against the Ottomans, the Kingdom was placed in the hands of count John Hunyadi, who became Hungary's regent-governor (1446–1453).	entailment	1
Which Miami causeway has the smallest size?	The northernmost causeway, the Broad Causeway, is the smallest of Miami's six causeways, and connects North Miami with Bal Harbour.	entailment	1
What other parts of East Prussia were transferred after the annexation of Zichenau?	Parts of it were transferred to other regions, e.g. Suwałki to Regierungsbezirk Gumbinnen and Soldau to Regierungsbezirk Allenstein.	entailment	1
In what century had mills such as gristmills and sawmills dominate the Islamic world?	By the 11th century, every province throughout the Islamic world had these industrial mills in operation, from al-Andalus and North Africa to the Middle East and Central Asia.	entailment	1
When did the Uptown district expand?	Centered on Post Oak Boulevard and Westheimer Road, the Uptown District boomed during the 1970s and early 1980s when a collection of mid-rise office buildings, hotels, and retail developments appeared along Interstate 610 west.	entailment	1
What does The Rhone begin as?	The Rhone is second to the Nile as a freshwater source to the Mediterranean Sea; the river begins as glacial meltwater, flows into Lake Geneva, and from there to France where one of its uses is to cool nuclear power plants.	entailment	1
What group gave Paul VI his Papal tiara?	He was the last pope to date to be crowned; his successor Pope John Paul I replaced the Papal Coronation (which Paul had already substantially modified, but which he left mandatory in his 1975 apostolic constitution Romano Pontifici Eligendo) with a Papal Inauguration.	not_entailment	1
What is the east-west waterway near Nanjing?	Nanjing is the intersection of Yangtze River, an east-west water transport artery, and Nanjing–Beijing railway, a south-north land transport artery,	entailment	1
What types of discrimination are common in Nigeria?	According to the US Department of State, the most significant human rights problems are: use of excessive force by security forces; impunity for abuses by security forces; arbitrary arrests; prolonged pretrial detention; judicial corruption and executive influence on the judiciary; rape, torture and other cruel, inhuman or degrading treatment of prisoners, detainees and suspects; harsh and life‑threatening prison and detention centre conditions; human trafficking for the purpose of prostitution and forced labour; societal violence and vigilante killings; child labour, child abuse and child sexual exploitation; female genital mutilation (FGM); domestic violence; discrimination based on sex, ethnicity, region and religion.	entailment	1
How many stages can predation be divided into?	This means that, at each applicable stage, predator and prey species are in an evolutionary arms race to maximize their respective abilities to obtain food or avoid being eaten.	not_entailment	1
How many primary and secondary school students attend school in Richmond?	The city of Richmond operates 28 elementary schools, nine middle schools, and eight high schools, serving a total student population of 24,000 students.	entailment	1
When was the Labout party defeated?	After its defeat in the 1979 general election the Labour Party underwent a period of internal rivalry between the left represented by Tony Benn, and the right represented by Denis Healey.	entailment	1
What is a word that can be used to describe the plant life of southern Europe?	Southern Europe's flora is that of the Mediterranean Region, one of the phytochoria recognized by Armen Takhtajan.	entailment	1
How many active members were there in 1975?	Watch Tower Society literature did not state dogmatically that 1975 would definitely mark the end, but in 1980 the Watch Tower Society admitted its responsibility in building up hope regarding that year.	not_entailment	1
Tanasi is know to have been located and mapped by British traders by which year?	The town was located on a river of the same name (now known as the Little Tennessee River), and appears on maps as early as 1725.	entailment	1
Where did Cædmon live?	Cædmon, the earliest English poet we know by name, served as a lay brother in the monastery at Whitby.	entailment	1
Who developed the ISA?	"""Weinreich's Identity Structure Analysis (ISA), is """"a structural representation of the individual's existential experience, in which the relationships between self and other agents are organised in relatively stable structures over time … with the emphasis on the socio-cultural milieu in which self relates to other agents and institutions"""" (Weinreich and Saunderson, (eds) 2003, p1)."""	entailment	1
How does Switzerland rank worldwide in areas such as quality of life and civil liberties?	Zürich and Geneva have each been ranked among the top cities with the highest quality of life in the world, with the former ranked 2nd globally, according to Mercer.	not_entailment	1
What was the primary problem with early carbon filaments?	Early carbon filaments had a negative temperature coefficient of resistance — as they got hotter, their electrical resistance decreased.	entailment	1
Who made two unsuccessful attempts on Queen Victoria's life in 1842?	On 29 May 1842, Victoria was riding in a carriage along The Mall, London, when John Francis aimed a pistol at her but the gun did not fire; he escaped.	entailment	1
